Annie Hall|https://www.imsdb.com/scripts/Annie-Hall.html
Anniversary Party, The|https://www.imsdb.com/scripts/Anniversary-Party,-The.html
Anonymous|https://www.imsdb.com/scripts/Anonymous.html
Antitrust|https://www.imsdb.com/scripts/Antitrust.html
Antz|https://www.imsdb.com/scripts/Antz.html
Apartment, The|https://www.imsdb.com/scripts/Apartment,-The.html
Apocalypse Now|https://www.imsdb.com/scripts/Apocalypse-Now.html
Apollo 13|https://www.imsdb.com/scripts/Apollo-13.html
April Fool's Day|https://www.imsdb.com/scripts/April-Fool's-Day.html
Apt Pupil|https://www.imsdb.com/scripts/Apt-Pupil.html
Arbitrage|https://www.imsdb.com/scripts/Arbitrage.html
Arcade|https://www.imsdb.com/scripts/Arcade.html
Arctic Blue|https://www.imsdb.com/scripts/Arctic-Blue.html
Argo|https://www.imsdb.com/scripts/Argo.html
Armageddon|https://www.imsdb.com/scripts/Armageddon.html
Army of Darkness|https://www.imsdb.com/scripts/Army-of-Darkness.html
Arsenic and Old Lace|https://www.imsdb.com/scripts/Arsenic-and-Old-Lace.html
Arthur|https://www.imsdb.com/scripts/Arthur.html
Artist, The|https://www.imsdb.com/scripts/Artist,-The.html
As Good As It Gets|https://www.imsdb.com/scripts/As-Good-As-It-Gets.html
Assassins|https://www.imsdb.com/scripts/Assassins.html
Assignment, The|https://www.imsdb.com/scripts/Assignment,-The.html
At First Sight|https://www.imsdb.com/scripts/At-First-Sight.html
August: Osage County|https://www.imsdb.com/scripts/August-Osage-County.html
Austin Powers - International Man of Mystery|https://www.imsdb.com/scripts/Austin-Powers---International-Man-of-Mystery.html
Austin Powers - The Spy Who Shagged Me|https://www.imsdb.com/scripts/Austin-Powers---The-Spy-Who-Shagged-Me.html
Authors Anonymous|https://www.imsdb.com/scripts/Authors-Anonymous.html
Autumn in New York|https://www.imsdb.com/scripts/Autumn-in-New-York.html
Avatar|https://www.imsdb.com/scripts/Avatar.html
Avengers, The|https://www.imsdb.com/scripts/Avengers,-The.html
Avengers, The (2012)|https://www.imsdb.com/scripts/Avengers,-The-(2012).html
